ID da Avaliação,Avaliação,Comentário,Avaliador,Data,Fonte
gbp_f4ffee7511a98a939a8f06df93db0b2207caae11,5,"Foi muito excelente o atendimento do kaio ótimo profissional",Homero maestri,Invalid Date,google
gbp_70fa682f935212d709190023dea776b0167e1fbc,5,"Atendimento rápido e eficiente pelo Kaio Gomes.",Annie Seabra,Invalid Date,google
gbp_b85ddb52fad157fd6b285bb38bcab60d700fd4a3,5,"Recomendo. Em especial o Robson Lopes que teve um excelente atendimento.",Rogério Santos,Invalid Date,google
gbp_b1af6931c1c96cf3b98b20f52d7be3bb4dfeebce,5,"Super atencioso o Kaio Gomes, atendimento rápido e ágil",Livia Tequila,Invalid Date,google
gbp_01ca6f853a8566900c1e797f3590a2782d7c6500,5,"Super satisfeita, a karen super simpática,muito educada é muito prestativa recomendo",ozineide Mota,Invalid Date,google
gbp_6640c113bbd3b55fa3f409ded4a099634817d5e2,1,"Atendimento do setor de escrituras é péssimo. Além de demorarem muito quando finalmente atendem demonstram total desconhecimento dos processos pelos quais são responsáveis, não leem os documentos e dizem que faltam informações que não faltam. Um caos",Patricia Costa,Invalid Date,google
gbp_ce40d7bc774294ba38d9d7262886428ba1407fec,1,"Fiquei semanas tratando com um tabelião para lavratura de uma escritura. Pagamos os impostos devidos, mas a outra parte demorou meses para assinar. Em razão disso, ele solicitou o recolhimento de uma taxa complementar. Questionei se seria mesmo necessário, considerando o entendimento do STJ de que o imposto deve incidir sobre o valor da venda — e não sobre o valor venal —, e que, inclusive, já havíamos recolhido um valor superior. A resposta foi extremamente grosseira: ele disse que não faria mais nada, afirmou que “a vida iria me ensinar” e se recusou a encaminhar o caso para outra pessoa do cartório. A postura foi desrespeitosa, machista e preconceituosa. Fiz uma reclamação no site, mas até agora ninguém entrou em contato.",Caroline Fernandes,Invalid Date,google
gbp_2379137499e984dbdd0b1b48ed81cc71ddc51cc4,1,"Péssima experiência! Solicitei certidão de divórcio, me fizeram pagar pela certidão e o que me enviaram foi a escritura. Alegam que não fazem certidao, que deveria ter solicitado ao registro civil. Mas me fizeram pagar por um produto que eles não tem . Solicitei estorno e negaram",hayday senhor,Invalid Date,google
gbp_40dbdc7f92fa73a1285bc10cf7905c6781f59b4c,5,"O atendente Kaio Gomes foi solícito e o serviço ágil, mesmo eu estando no exterior. Grata.",Taís Ferreira,Invalid Date,google
gbp_eebaa362dbc08175f7be58cfe2a5777ffe665a54,5,"Tive uma experiência muito boa! Recomendo a todos a presteza e agilidade no atendimento!",Joy Muniz,Invalid Date,google
gbp_b2b2028f8d45c451c7754c97b72442bafb5adb83,1,"Muito demorado e atendimento pouco humanizado. Sistemas não intuitivo, tempo de resposta chega ser desrespeitoso. Péssima experiência.",Mano Dáblio,Invalid Date,google
gbp_f6545e575ab70099a176fb8d340676f02d7e0df7,5,"Ótima, fácil atendimento",DANILO KEKI,Invalid Date,google
gbp_4460a22a654d50765ff47f44ea7dc0a533d3357b,5,"O Escrevente Thiago Martins fez um excelente trabalho, com rapidez. Eu, advogado, e meus clientes ficamos plenamente satisfeitos. Recomendo!",Luis Machado,Invalid Date,google
gbp_c92cd11d5ee1483669878d6c57cedc9485017e4a,5,"Muito fácil, atendente Ana Sophia muito atencoosa, gentil. Paciente. Está de parabéns.",Eliana Campos,Invalid Date,google
gbp_d08b7de27801de8c76b5724d4a0b222c51105162,5,"Atendimento rápido e prático. A atendente com simpatia e cordialidade fez com rapidez e competência o serviço. Indico. Parabéns!!",Atanael Silva,Invalid Date,google
gbp_03ccc1cc963fa04d947fc83f6c221e4a06949d38,5,"Ótima atendente (Letícia Andreza) e fácil entendimento no manuseio da plataforma",Vitor Suxo,Invalid Date,google
gbp_a4ff60e01368dda2e008524d40fc29c59b488348,5,"Adorei o atendimento, rapido e pratico",kenia meireles,Invalid Date,google
gbp_77b1985d2d0f36b2e7254b7cef56e8f8dd33f20f,5,"Muito bom gostei a moça que me atendeu foi bem atenciosa e educado.",renata prado,Invalid Date,google
gbp_a7ba6b0ef6ae04e0d1827934090d1e33b3c2787b,5,"A Carla merece uma promoção. Muito atenciosa, educada e rápida. Fez a diferença",paulo henrique,Invalid Date,google
gbp_c4472169fff1a2f9ed8fff8bcba45bc9a60c9f86,5,"Muito pratico..Karen foi super simpatica e profissional..o sistema ainda esta um pouco lento,oq seria um ponto a melhorar",Roberto Pires barreto Junior,Invalid Date,google
gbp_32b5df746424fe8af607e9e0dc6b9915052508fb,5,"Gostaria de expressar minha profunda gratidão pelo excelente atendimento que recebi do Carlos Lima, integrante da equipe do Sr. Thiago Martins. Estava com uma demanda urgente e fui atendida de forma extremamente ágil, eficiente e cordial. O Carlos demonstrou não apenas grande competência, mas também uma atenção e dedicação exemplares, proporcionando um suporte impecável em um momento de necessidade. Sua presteza e profissionalismo fizeram toda a diferença nesta demanda, e a qualidade de atendimento merece ser reconhecida. Parabenizo o cartório pela excelência no serviço prestado e, especialmente, pelo comprometimento do Carlos Lima, que se destacou pelo cuidado e eficiência.",Fernanda Garcia,Invalid Date,google
gbp_873a60cdc58d103d13a5060ca4dd13ad7dee56da,5,"Parabéns, experiência fantástica com mundo virtual, fiz todo processo sem estresse, embora eu sou leiga nesse assunto,deu tudo certo. 👏👏👏",Isabel Arantes,Invalid Date,google
gbp_f9740ead9f74eee5dd64036a2a5cfa2cb0ec9ea3,5,"Execelente atendimento da profissional FABIANA MEDEIROS, atenciosa e paciente, fora a praticidade de poder fazer todo o resgistro de casa mesmo! parabéns!",Adriano Vieira,Invalid Date,google
gbp_526be8dad183af7417c02d0b4f95bee3132ab6e2,5,"Rapidez, eficiência, segurança, organização e acima de tudo FACILIDADE! Impressionado com a qualidade desse serviço. Parabens",Rodrigo Francelli,Invalid Date,google
gbp_e46454d7b57ab88968fa9d1a6e3c7ed1230487bd,5,"Atendimento muito bom. Devido a tanta demanda o atendimento até foi rápido,me surpreendeu. Funcionária Maria foi super atenciosa e prestativa solucionando meu problema rapidamente. Vídeo chamada rápida e focada. A demora faz parte da comodidade de não sair de casa para resolver algumas coisas",Draiton Mota,Invalid Date,google
gbp_5745a8d043ef31388b0cc61488fa8ed8f77ede41,5,"Muito Bom atendente educado e profissional",renata leonel,Invalid Date,google
gbp_7dace9608ca1cceb95c5cefd47fd057a9001593f,5,"Robison Lopes , gente fina ,muito educado ,foi muito fácil resolver o problema",jose lopes siqueira,Invalid Date,google
gbp_e28c2ac5747d25998db1d2d4ec5656d3e29175d2,5,"Atendimento super fácil e rápido para fazer a assinatura pelo e-notariado, a vídeo conferência realizada com a Ana Sofia, bem explicada e ágil! Super recomendo.",Silmara Maciel,Invalid Date,google
gbp_a1eabc9caf7994c3760d2d9a454bb27506c707a7,5,"Excelente atendimento pelo WhatsApp. Utilizei o serviço para emissão de um certificado digital e fui muito bem atendida pela Fabiana Medeiros, serviço rápido e eficiente. Recomendo!",Eduarda Souza,Invalid Date,google
gbp_b661c0a413b1577c3e1b9a1888b0c685d653b90d,5,"A Ana fez um atendimento perfeito com muita paciência e clareza",Luiz Fernando Lara,Invalid Date,google
gbp_1124ae686b8b3ab00677bb5d94b595b7f6a9a733,5,"Eu estava perdida entrei no Google peguei o WhatsApp deles … logo me responderam e já estou com o certificado em menos de 4 horas nunca achei que iria ser tão fácil..obrigada",Gesilene Oliveira,Invalid Date,google
gbp_ee5987cb958fa225c9f8ecccaa469f2b47110d0b,5,"Fui muito bem atendido pelos profissionais qualificados. Pode ter certeza que, precisando novamente de serviços estarei acionando.",EUCLIDES WAGNER PASSUELLO,Invalid Date,google
gbp_e962bafbc9af31d42e676029d962f7a6e8ed7927,5,"Foi muito bem atendido pela funcionária Fabiana Medeiros.",Humberto Sabino,Invalid Date,google
gbp_fc25f21338205715290eea90b231ae667b502b20,5,"Como sempre um ótimo atendimento. Essa vez foi o ROBSON LOPES. Parabéns e Obrigado",Vanderlei Azeituno,Invalid Date,google
gbp_b3ffa1caa3c69704b43ba4dacaca667f946ca5db,5,"Acabei de ser atendida pela Fabiana Medeiros e o atendimento foi excelente. Muito obrigada.",Alessandra Gabi Guerra,Invalid Date,google
gbp_0b562e11f9500ff34bc0c60636da69925a395a84,4,"As orientações foram claras, mas demorou um pouco, porém tudo se resolveu. Creio que devido à demanda de trabalho que deve ter aumentado pelo uso da ferramenta por celular. No geral bom!",Laerte Caires,Invalid Date,google
gbp_6a332a1ddb01be5c237cfa8e1c4c4fe5d057b9d7,5,"Atendente super preparada e atenciosa. Além de ter muita paciência, experiência e cuidado no seu atendimento.",Vera Lucia PIRES DE OLIVEIRA,Invalid Date,google
